,FIPS,MHI_2018,giniIndex
247,08005,73925,0.4589
248,08007,50753,0.4486
249,08009,37500,0.4396
250,08011,34392,0.4395
251,08013,78642,0.4802
252,08014,89624,0.4303
253,08015,54580,0.4266
254,08017,55227,0.4233
255,08019,69936,0.4127
256,08021,34746,0.4614
257,08023,30593,0.5076
258,08025,37586,0.4185
259,08027,44644,0.4389
260,08029,44512,0.4669
261,08031,63793,0.4958
262,08033,41714,0.4295
263,08035,115314,0.3989
264,08037,84685,0.4335
265,08039,96658,0.4049
266,08041,65334,0.434
267,08043,46296,0.447
268,08045,72898,0.4008
269,08047,75120,0.4241
270,08049,70469,0.4019
271,08051,54979,0.4182
272,08053,52188,0.4769
273,08055,36705,0.4314
274,08057,48828,0.3796
275,08059,78943,0.4337
276,08061,39784,0.4383
277,08063,51046,0.4691
278,08065,46918,0.4349
279,08067,64372,0.4584
280,08069,67664,0.4497
281,08071,41945,0.4616
282,08073,49423,0.4364
283,08075,48922,0.4365
284,08077,53683,0.4413
285,08079,61058,0.3541
286,08081,52807,0.4298
287,08083,46797,0.4247
288,08085,48739,0.4234
289,08087,51626,0.4014
290,08089,34136,0.477
291,08091,62230,0.4413
292,08093,66861,0.4082
293,08095,50724,0.4573
294,08097,71244,0.5466
295,08099,40097,0.4334
296,08101,44634,0.4572
297,08103,55543,0.417
298,08105,38639,0.4688
299,08107,74273,0.453
300,08109,34410,0.5097
301,08111,46563,0.4197
302,08113,64478,0.5273
303,08115,45188,0.4462
304,08117,77589,0.4098
305,08119,65382,0.4104
306,08121,49375,0.4135
307,08123,70908,0.4156
308,08125,48394,0.4244
309,09001,92969,0.5432
310,09003,72321,0.4716
311,09005,78314,0.4479
312,09007,84761,0.4427
313,09009,67128,0.4688
314,09011,71368,0.4439
315,09013,84916,0.4315
316,09015,64774,0.4151
317,10001,58775,0.4302
318,10003,70996,0.4586
319,10005,60853,0.4496
320,11001,82604,0.5283
321,12001,49078,0.5138
322,12003,61769,0.4414
323,12005,51829,0.4509
324,12007,46197,0.4403
325,12009,54359,0.455
326,12011,57333,0.4861
327,12013,38609,0.4523
328,12015,49225,0.4542
329,12017,41424,0.4611
330,12019,62653,0.4191
331,12021,65675,0.5223
332,12023,44491,0.4695
333,12027,35057,0.4526
334,12029,38237,0.4751
335,12031,53473,0.4728
336,12033,49286,0.4383
337,12035,53872,0.424
338,12037,42855,0.5018
339,12039,40922,0.4394
340,12041,42357,0.4217
341,12043,39879,0.4324
342,12045,44291,0.4149
343,12047,34583,0.4713
344,12049,37594,0.4817
345,12051,40728,0.4736
346,12053,46030,0.428
347,12055,37314,0.4803
348,12057,56137,0.4799
349,12059,38608,0.4474
350,12061,52336,0.5283
351,12063,39002,0.4463
352,12065,48173,0.4545
353,12067,39543,0.475
354,12069,51884,0.4272
355,12071,54691,0.4805
356,12073,51201,0.4894
357,12075,37634,0.4544
358,12077,37363,0.4288
359,12079,35509,0.4998
360,12081,56036,0.4693
361,12083,43361,0.4481
362,12085,57959,0.5273
363,12086,48982,0.5249
364,12087,67023,0.506
365,12089,66297,0.4544
366,12091,62048,0.4303
367,12093,40367,0.4429
368,12095,54335,0.4868
369,12097,50063,0.4283
370,12099,59943,0.5221
371,12101,50417,0.4517
372,12103,51454,0.4857
373,12105,48500,0.4423
374,12107,35649,0.4599
375,12109,77323,0.4655
376,12111,49373,0.4475
377,12113,66242,0.4216
378,12115,58644,0.485
379,12117,63760,0.46
380,12119,55228,0.4278
381,12121,42686,0.4715
382,12123,36934,0.4179
383,12125,41770,0.4736
384,12127,46760,0.4617
385,12129,62778,0.3787
386,12131,53785,0.4993
387,12133,37188,0.4401
388,13001,39561,0.4446
389,13003,34877,0.4765
390,13005,36964,0.4588
391,13007,37188,0.4744
392,13009,39426,0.4897
393,13011,45373,0.4035
394,13013,57348,0.3943
395,13015,55452,0.4303
396,13017,32705,0.4607
397,13019,37163,0.4471
398,13021,39931,0.5221
399,13023,45029,0.445
400,13025,37031,0.442
401,13027,34322,0.5321
402,13029,71322,0.4416
403,13031,41789,0.4773
404,13033,42773,0.4486
405,13035,41845,0.4747
406,13037,31725,0.4947
407,13039,56397,0.4366
408,13043,32937,0.5137
409,13045,49608,0.4466
410,13047,55125,0.4156
411,13049,40283,0.436
412,13051,54911,0.4804
413,13053,46453,0.4753
414,13055,36107,0.4602
415,13057,79670,0.411
416,13059,36889,0.5271
417,13061,25000,0.493
418,13063,45778,0.4175
419,13065,25236,0.5444
420,13067,75153,0.4518
